path,alt,usage,source,publication_authorization
/images/hairstyles/cheveux-naturels-afro.jpeg,Coiffure naturelle afro fournie par la cliente,coiffures et accueil,cliente,à confirmer
/images/hairstyles/crochet-braids-boucles-noires.jpeg,Crochet braids longues et bouclées,coiffures,cliente,à confirmer
/images/hairstyles/faux-locks-longues.jpeg,Faux locks longues,coiffures,cliente,à confirmer
/images/hairstyles/queue-de-cheval-cuivree-profil.jpeg,Queue-de-cheval lisse cuivrée vue de profil,coiffures,cliente,à confirmer
/images/hairstyles/queue-de-cheval-cuivree-dessus.jpeg,Queue-de-cheval lisse cuivrée vue du dessus,galerie détaillée,cliente,à confirmer
/images/hairstyles/box-braids-blondes-face.jpeg,Box braids blondes vues de face,accueil et coiffures,cliente,à confirmer
/images/hairstyles/box-braids-blondes-profil.jpeg,Box braids blondes vues de profil,galerie détaillée,cliente,à confirmer
/images/products/ampoules-aurodhea-soin-intensif-48-euros.jpeg,Ampoules Aurodhea soin intensif,catalogue,cliente,à confirmer
/images/products/duo-aurodhea-bave-escargot.jpeg,Duo Aurodhea shampoing et après-shampoing,catalogue,cliente,à confirmer
/images/products/gamme-aurodhea-anti-chute.jpeg,Comparatif de références de la gamme Aurodhea,catalogue,cliente,à confirmer
/images/products/guide-shampoings-aurodhea-par-type-cheveux.jpeg,Guide des shampoings Aurodhea par type de cheveux,catalogue,cliente,à confirmer
/images/products/lotion-aurodhea-anti-chute-50-euros.jpeg,Lotion capillaire Aurodhea 50 ml,catalogue,cliente,à confirmer
/images/products/lotion-chogan-rafraichissante-24-90-euros.jpeg,Lotion capillaire rafraîchissante Chogan,catalogue,cliente,à confirmer
/images/products/shampoing-aurodhea-anti-chute-19-90-euros.jpeg,Shampoing Aurodhea pour cheveux fragiles 250 ml,catalogue,cliente,à confirmer
/images/products/shampoing-aurodhea-antipelliculaire-acide-salicylique.jpeg,Shampoing Aurodhea antipelliculaire à l’acide salicylique,catalogue,cliente,à confirmer
